surname,lap,milliseconds,total_laptime
Pérez,1,93251,93251
Pérez,2,90579,183830
Pérez,3,90272,274102
Pérez,4,90879,364981
Pérez,5,90927,455908
Pérez,6,90635,546543
Pérez,7,90612,637155
Pérez,8,90666,727821
Pérez,9,90971,818792
Pérez,10,91071,909863
Pérez,11,91167,1001030
Pérez,12,91407,1092437
Pérez,13,91494,1183931
Pérez,14,91990,1275921
Pérez,15,94430,1370351
Pérez,16,112141,1482492
Pérez,17,90226,1572718
Pérez,18,90185,1662903
Pérez,19,89798,1752701
Pérez,20,90583,1843284
Pérez,21,90673,1933957
Pérez,22,91316,2025273
Pérez,23,91170,2116443
Pérez,24,90927,2207370
Pérez,25,90833,2298203
Pérez,26,90362,2388565
Pérez,27,90697,2479262
Pérez,28,90538,2569800
Pérez,29,90470,2660270
Pérez,30,90034,2750304
Pérez,31,90142,2840446
Pérez,32,90338,2930784
Pérez,33,92299,3023083
Pérez,34,109463,3132546
Pérez,35,89212,3221758
Pérez,36,89199,3310957
Pérez,37,89065,3400022
Pérez,38,89153,3489175
Pérez,39,89471,3578646
Pérez,40,89355,3668001
Pérez,41,89192,3757193
Pérez,42,89150,3846343
Pérez,43,89260,3935603
Pérez,44,89522,4025125
Pérez,45,90257,4115382
Pérez,46,89373,4204755
Pérez,47,89217,4293972
Pérez,48,89234,4383206
Pérez,49,89089,4472295
Pérez,50,89253,4561548
Pérez,51,89159,4650707
Pérez,52,88972,4739679
Pérez,53,89096,4828775
Pérez,54,89152,4917927
Pérez,55,89205,5007132
Pérez,56,89446,5096578
Pérez,57,89573,5186151
Pérez,58,89856,5276007
