lap,perez_racetime,leclerc_racetime
1,93251,94192
2,183830,185188
3,274102,275606
4,364981,366773
5,455908,458129
6,546543,549216
7,637155,640077
8,727821,730963
9,818792,821746
10,909863,912893
11,1001030,1003932
12,1092437,1095184
13,1183931,1186104
14,1275921,1277235
15,1370351,1368966
16,1482492,1460203
17,1572718,1551657
18,1662903,1643100
19,1752701,1734840
20,1843284,1826731
21,1933957,1920269
22,2025273,2031470
23,2116443,2121356
24,2207370,2211821
25,2298203,2302309
26,2388565,2392730
27,2479262,2482825
28,2569800,2572569
29,2660270,2662549
30,2750304,2752652
31,2840446,2842526
32,2930784,2932321
33,3023083,3022591
34,3132546,3112761
35,3221758,3202778
36,3310957,3292921
37,3400022,3383151
38,3489175,3473563
39,3578646,3564858
40,3668001,3655170
41,3757193,3745226
42,3846343,3835361
43,3935603,3925174
44,4025125,4015132
45,4115382,4104985
46,4204755,4195144
47,4293972,4285359
48,4383206,4375078
49,4472295,4464953
50,4561548,4554689
51,4650707,4644471
52,4739679,4734198
53,4828775,4824077
54,4917927,4914172
55,5007132,5004323
56,5096578,5094356
57,5186151,5184185
58,5276007,5274685
